Player,Team,Position,player_key,szn_GP,szn_W,szn_L,szn_OT,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_L,l7_OT,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI,T_szn_GA,T_szn_SV%,T_szn_GAA,T_szn_W,T_szn_SV,T_szn_SHO,T_l7_GA,T_l7_SV%,T_l7_GAA,T_l7_W,T_l7_SV,T_l7_SHO,Goalie_Index_szn,Goalie_Index_l7
Will Cranley,STL,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Garin Bjorklund,WSH,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Remi Poirier,DAL,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Adam Scheel,NJ,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Arvid Soderblom,CHI,G,,12.0,4.0,7.0,0.0,50.0,4.02,393.0,343.0,0.873,0.0,12:25:45,1.0,1.0,0.0,0.0,6.0,3.87,46.0,40.0,0.87,0.0,01:32:57,36,25,15,31,55,21,37,44,29,62,53,43,30.5,44.666666666666664
Sebastian Cossa,DET,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jesper Wallstedt,MIN,G,,16.0,11.0,2.0,0.0,36.0,2.21,503.0,467.0,0.928,4.0,16:19:09,2.0,1.0,0.0,0.0,6.0,2.93,54.0,48.0,0.889,0.0,02:02:59,50,88,76,73,66,99,37,57,52,62,64,43,75.33333333333333,52.5
Tristan Lennox,NYI,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Hunter Shepard,OTT,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jet Greaves,CBJ,G,,25.0,11.0,10.0,0.0,68.0,2.62,747.0,679.0,0.909,0.0,25:59:44,3.0,2.0,1.0,0.0,6.0,2.02,87.0,81.0,0.931,0.0,02:58:13,24,71,59,73,77,21,37,82,79,88,88,43,54.166666666666664,69.5
Connor Ungar,EDM,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Kyle Konin,TB,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jaxson Stauber,UTA,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Clay Stevenson,WSH,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Brandon Bussi,CAR,G,,16.0,13.0,2.0,0.0,38.0,2.33,384.0,346.0,0.901,1.0,16:19:58,3.0,2.0,1.0,0.0,10.0,3.29,62.0,52.0,0.839,0.0,03:02:21,48,61,71,79,55,71,11,25,43,88,68,43,64.16666666666667,46.333333333333336
Tyler Brennan,NJ,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
