Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Evander Kane,VAN,L,21,0 days 00:18:03.190476192,0.47,1.27,9.81,6.33,1.74,5.38,0.63,7.0,0 days 00:19:45.142857144,0.43,1.3,12.15,4.34,0.87,2.6,0.43,21.0,0 days 00:01:56.857142856,4.4,7.0,0 days 00:02:03.142857144,4.18,F,36,70,61,87,22,66,43,92,41,72,63,92,21,56,27,73,55.2,67.0,58.739999999999995,57.8,52.0,56.059999999999995
Brayden Schenn,STL,C,20,0 days 00:16:48.600000,0.36,0.71,3.75,7.32,1.43,2.86,21.42,7.0,0 days 00:16:23.857142856,0.0,0.0,3.66,5.75,1.57,2.61,13.59,20.0,0 days 00:01:50.800000002,1.62,,,,F,28,42,22,19,89,72,33,75,15,11,50,27,82,67,49,73,40.0,60.0,46.0,37.0,63.0,44.8
Oliver Ekman-Larsson,TOR,D,20,0 days 00:20:51.799999998,0.29,1.73,3.88,3.74,3.16,2.01,0.0,7.0,0 days 00:22:31.857142860,0.38,1.9,4.18,2.66,3.04,0.0,0.0,20.0,0 days 00:02:04.000000002,4.35,7.0,0 days 00:02:58.999999998,2.87,D,73,93,61,60,50,64,32,66,77,90,48,65,50,54,36,13,67.4,54.0,63.379999999999995,66.0,34.333333333333336,56.5
Nazem Kadri,CGY,C,21,0 days 00:20:26.523809526,0.56,1.12,9.22,2.1,0.98,1.12,16.91,7.0,0 days 00:20:42.714285714,0.41,0.41,10.35,1.66,1.24,0.0,20.69,21.0,0 days 00:04:00.285714288,3.57,7.0,0 days 00:03:13.857142860,2.65,F,43,63,52,84,85,25,18,41,40,32,48,87,88,26,39,17,65.4,28.0,54.18,59.0,27.333333333333332,49.5
Dmitry Kulikov,FLA,D,2,0 days 00:10:46.500000,0.0,0.0,2.78,2.78,0.0,0.0,0.0,,,,,,,,,,,,,,,,D,19,6,50,34,50,50,1,7,50,50,50,50,50,50,50,50,31.8,19.333333333333332,28.06,50.0,50.0,50.0
Nick Leddy,S.J,D,9,0 days 00:17:30.444444444,0.0,0.76,1.14,0.76,5.71,1.52,0.0,2.0,0 days 00:18:35.500000002,0.0,0.0,3.23,0.0,8.07,0.0,0.0,,,,,,,D,19,57,50,3,50,10,77,54,28,13,50,49,50,4,91,13,35.8,47.0,39.16,38.0,36.0,37.4
Chris Kreider,ANA,L,15,0 days 00:16:40.933333332,2.4,0.96,8.15,1.68,0.96,2.4,0.24,7.0,0 days 00:17:05.857142856,1.5,1.5,5.51,0.5,0.5,1.0,0.5,15.0,0 days 00:03:31.133333333,7.96,7.0,0 days 00:03:09,8.16,F,98,56,84,77,16,19,18,68,86,78,83,52,22,9,15,46,66.2,35.0,56.839999999999996,64.2,23.333333333333332,51.94
Brayden McNabb,VGK,D,19,0 days 00:21:30.315789474,0.0,0.15,2.06,4.26,9.25,0.88,0.0,7.0,0 days 00:21:23.857142856,0.0,0.4,3.2,4.81,9.21,0.8,0.0,,,,,,,D,19,13,50,17,50,71,96,34,28,36,50,49,50,78,94,40,29.8,67.0,40.959999999999994,42.6,70.66666666666667,51.019999999999996
Reilly Smith,VGK,R,19,0 days 00:13:40.421052630,0.69,0.69,4.85,2.54,0.92,0.0,0.0,7.0,0 days 00:13:52.285714284,1.24,1.24,4.33,1.24,1.85,0.0,0.0,,,,,,,F,52,41,50,35,13,30,17,10,79,70,50,36,14,20,56,17,38.2,19.0,32.440000000000005,49.8,31.0,44.15999999999999
Dmitry Orlov,S.J,D,20,0 days 00:22:22.200000,0.0,1.48,3.76,3.76,3.35,1.88,0.0,7.0,0 days 00:21:16.571428571,0.0,0.4,3.63,2.01,3.22,0.0,0.0,20.0,0 days 00:02:30.449999999,4.79,7.0,0 days 00:02:15.428571426,0.0,D,19,89,66,58,50,65,36,63,28,36,7,57,50,42,40,13,56.4,54.666666666666664,55.879999999999995,35.6,31.666666666666668,34.42
