TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
STL,7,3,0,"TOR, PHI, NYI",31%,"Good [37,18,39]",0,3,0,60,STL7
STL,8,4,0,"NYR, N.J, OTT, UTA",41%,"Good [40,50,32,52]",2,2,0,56,STL8
STL,9,4,1,"ANA, BOS, OTT, MTL",32%,"Good [61,16,32,17]",2,3,2,52,STL9
STL,10,3,1,"BOS, NSH, CHI",22%,"Excellent [16,28,21]",2,1,0,49,STL10
STL,11,4,2,"NSH, WPG, NYR, FLA",41%,"Good [28,32,40,63]",2,1,0,45,STL11
STL,12,2,1,"T.B, NSH",28%,"Excellent [50,28]",0,1,0,43,STL12
STL,13,4,1,"BUF, CGY, VGK, MTL",37%,"Good [46,40,44,17]",2,1,0,39,STL13
STL,14,3,2,"CHI, UTA, VGK",39%,"Good [21,52,44]",2,3,0,36,STL14
STL,15,3,2,"CBJ, T.B, EDM",46%,"Good [58,50,33]",0,1,0,33,STL15
STL,16,3,0,"WPG, DAL, L.A",30%,"Excellent [32,29,50]",2,2,0,30,STL16
STL,17,3,0,"DAL, FLA, COL",58%,"Average [29,63,83]",0,0,0,27,STL17
STL,18,5,0,"NSH, DAL, SEA, N.J, MIN",22%,"Excellent [28,29,4,50,25]",2,3,0,22,STL18
STL,19,3,1,"SEA, S.J, ANA",32%,"Good [4,50,61]",0,3,0,19,STL19
STL,20,4,1,"NYI, CBJ, EDM, WPG",40%,"Good [39,58,33,32]",2,2,0,15,STL20
STL,21,2,0,"CAR, VAN",64%,"Average [96,32]",0,2,0,13,STL21
STL,22,3,0,"WSH, S.J, TOR",59%,"Average [81,50,37]",0,0,0,10,STL22
STL,23,4,3,"S.J, L.A, ANA, CGY",50%,"Good [50,50,61,40]",0,4,0,6,STL23
STL,24,6,0,"CGY, WPG, CHI, MIN, PIT, UTA",38%,"Good [40,32,21,25,57,52]",2,2,0,0,STL24
T.B,1,2,0,"OTT, N.J",32%,"Good [32,50]",0,0,0,80,T.B1
T.B,2,4,1,"BOS, WSH, DET, COL",57%,"Average [16,81,49,83]",4,4,0,76,T.B2
T.B,3,3,0,"CHI, ANA, VGK",42%,"Good [21,61,44]",2,0,0,73,T.B3
T.B,4,3,1,"NSH, DAL, UTA",36%,"Good [28,29,52]",0,2,0,70,T.B4
T.B,5,3,0,"CGY, VGK, WSH",55%,"Average [40,44,81]",0,2,0,67,T.B5
T.B,6,3,2,"NYR, FLA, VAN",45%,"Good [40,63,32]",2,1,0,64,T.B6
T.B,7,3,0,"N.J, EDM, WSH",57%,"Average [50,33,81]",0,1,0,61,T.B7
T.B,8,4,0,"PHI, CAR, DET, NYR",51%,"Average [18,96,49,40]",2,2,0,57,T.B8
T.B,9,3,0,"NYI, PIT, NYI",45%,"Good [39,57,39]",0,1,1,54,T.B9
T.B,10,4,1,"TOR, MTL, N.J, NYI",31%,"Good [37,17,50,39]",2,4,0,50,T.B10
T.B,11,3,1,"FLA, L.A, CBJ",60%,"Average [63,50,58]",0,0,0,47,T.B11
T.B,12,3,2,"STL, FLA, MTL",34%,"Good [22,63,17]",2,1,0,44,T.B12
T.B,13,3,0,"ANA, L.A, S.J",61%,"Average [61,50,50]",2,3,0,41,T.B13
T.B,14,2,0,"CGY, PHI",29%,"Excellent [40,18]",0,1,0,39,T.B14
T.B,15,4,2,"PHI, PIT, STL, DAL",32%,"Good [18,57,22,29]",2,4,0,35,T.B15
T.B,16,3,0,"S.J, CHI, COL",52%,"Average [50,21,83]",2,2,0,32,T.B16
T.B,17,3,2,"UTA, WPG, BOS",33%,"Good [52,32,16]",0,0,0,29,T.B17
T.B,18,5,0,"BUF, FLA, TOR, CBJ, BUF",50%,"Good [46,63,37,58,46]",2,1,0,24,T.B18
T.B,19,4,0,"MIN, WPG, TOR, BUF",35%,"Good [25,32,37,46]",2,4,0,20,T.B19
T.B,20,3,0,"COL, DET, CBJ",63%,"Average [83,49,58]",0,0,0,17,T.B20
T.B,21,4,0,"SEA, VAN, EDM, CAR",41%,"Good [4,32,33,96]",2,4,0,13,T.B21
T.B,22,4,0,"MIN, SEA, OTT, NSH",22%,"Excellent [25,4,32,28]",2,0,0,9,T.B22
T.B,23,3,0,"MTL, PIT, BOS",30%,"Excellent [17,57,16]",0,0,0,6,T.B23
T.B,24,6,1,"BUF, OTT, MTL, BOS, DET, NYR",33%,"Good [46,32,17,16,49,40]",2,4,0,0,T.B24
TOR,1,2,1,"MTL, DET",33%,"Good [17,49]",0,1,0,80,TOR1
TOR,2,4,0,"DET, NSH, NYR, SEA",30%,"Excellent [49,28,40,4]",2,0,0,76,TOR2
TOR,3,3,1,"N.J, BUF, BUF",46%,"Good [50,46,46]",2,1,0,73,TOR3
TOR,4,3,1,"CAR, COL, PHI",66%,"Average [96,83,18]",2,2,0,70,TOR4
TOR,5,4,2,"PIT, UTA, BOS, CBJ",46%,"Good [57,52,16,58]",2,0,0,66,TOR5
TOR,6,3,0,"BOS, L.A, CHI",18%,"Excellent [16,50,21]",0,2,0,63,TOR6
TOR,7,3,0,"STL, COL, MTL",41%,"Good [22,83,17]",0,1,0,60,TOR7
TOR,8,3,0,"COL, WSH, PIT",74%,"Difficult [83,81,57]",2,3,0,57,TOR8
TOR,9,3,0,"FLA, CBJ, MTL",46%,"Good [63,58,17]",0,2,1,54,TOR9
TOR,10,3,1,"T.B, S.J, EDM",33%,"Good [50,50,33]",0,0,0,51,TOR10
TOR,11,4,0,"CHI, WSH, NSH, DAL",40%,"Good [21,81,28,29]",2,3,0,47,TOR11
TOR,12,3,1,"PIT, OTT, DET",46%,"Good [57,32,49]",2,1,0,44,TOR12
TOR,13,3,1,"N.J, WPG, NYI",36%,"Good [50,32,39]",0,1,0,41,TOR13
TOR,14,3,0,"FLA, PHI, VAN",38%,"Good [63,18,32]",0,1,0,38,TOR14
TOR,15,4,0,"CGY, UTA, VGK, WPG",42%,"Good [40,52,44,32]",2,4,0,34,TOR15
TOR,16,4,0,"MIN, DET, VGK, CGY",40%,"Good [25,49,44,40]",0,0,0,30,TOR16
TOR,17,3,0,"BUF, SEA, VAN",27%,"Excellent [46,4,32]",0,2,0,27,TOR17
TOR,18,5,0,"CAR, EDM, T.B, FLA, OTT",56%,"Average [96,33,50,63,32]",4,4,0,22,TOR18
TOR,19,4,1,"PHI, N.J, NYR, T.B",29%,"Excellent [18,50,40,50]",2,2,0,18,TOR19
TOR,20,4,0,"MTL, ANA, BUF, MIN",37%,"Good [17,61,46,25]",2,3,0,14,TOR20
TOR,21,3,1,"NYI, CBJ, OTT",43%,"Good [39,58,32]",2,1,0,11,TOR21
TOR,22,3,1,"BOS, NYR, STL",26%,"Excellent [16,40,22]",2,2,0,8,TOR22
TOR,23,3,1,"ANA, S.J, L.A",61%,"Average [61,50,50]",0,3,0,5,TOR23
TOR,24,5,1,"WSH, NYI, FLA, DAL, OTT",49%,"Good [81,39,63,29,32]",2,2,0,0,TOR24
UTA,1,2,0,"CGY, NSH",34%,"Good [40,28]",0,2,0,80,UTA1
UTA,2,4,3,"CHI, CAR, S.J, BOS",44%,"Good [21,96,50,16]",0,1,0,76,UTA2
UTA,3,4,0,"CGY, STL, MIN, WPG",30%,"Excellent [40,22,25,32]",2,3,0,72,UTA3
UTA,4,2,1,"EDM, T.B",33%,"Good [33,50]",0,1,0,70,UTA4
UTA,5,4,1,"BUF, TOR, MTL, OTT",33%,"Good [46,37,17,32]",4,4,0,66,UTA5
UTA,6,2,2,"BUF, NYI",42%,"Good [46,39]",0,0,0,64,UTA6
UTA,7,4,0,"ANA, S.J, VGK, NYR",48%,"Good [61,50,44,40]",2,2,0,60,UTA7
UTA,8,4,0,"VGK, MTL, DAL, STL",28%,"Excellent [44,17,29,22]",2,2,0,56,UTA8
UTA,9,4,3,"S.J, ANA, VAN, CAR",63%,"Average [50,61,32,96]",2,4,1,52,UTA9
UTA,10,4,3,"L.A, FLA, SEA, PIT",41%,"Good [50,63,4,57]",0,1,0,48,UTA10
UTA,11,4,2,"BOS, DET, N.J, WPG",32%,"Good [16,49,50,32]",2,2,0,44,UTA11
UTA,12,1,0,CGY,40%,Good [40],0,1,0,43,UTA12
UTA,13,3,0,"NSH, NYI, N.J",34%,"Good [28,39,50]",0,2,0,40,UTA13
UTA,14,4,4,"NYR, OTT, STL, COL",44%,"Good [40,32,22,83]",0,1,0,36,UTA14
UTA,15,3,0,"TOR, DAL, SEA",23%,"Excellent [37,29,4]",0,0,0,33,UTA15
UTA,16,2,0,"PHI, NSH",23%,"Excellent [18,28]",0,1,0,31,UTA16
