Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Mario Ferraro,S.J,,,78,0:21:24,0.18,0.43,2.84,5.36,4.49,1.9,0.0,3.0,0:21:37,0.0,0.0,6.47,5.55,4.62,0.0,0.0,,,,,,,D,49,32,50,30,48,78,56,65,28,13,50,84,47,80,64,17,41.8,66.33333333333333,49.16,44.4,53.66666666666666,47.17999999999999
Cale Fleury,SEA,,,14,0:12:52,0.0,0.33,5.33,9.99,9.33,0.0,0.0,2.0,0:14:54,0.0,0.0,2.01,16.11,8.05,0.0,0.0,,,,,,,D,16,23,50,79,48,95,97,6,28,13,50,24,47,98,90,17,43.2,66.0,50.04,32.4,68.33333333333333,43.17999999999999
Morgan Geekie,BOS,Trocheck Backcheck Paycheque,C;LW;RW,77,0:16:55,1.52,1.11,6.91,5.07,1.34,1.01,8.01,7.0,0:17:42,2.9,3.39,7.75,5.81,0.48,0.0,2.42,77.0,0:01:49,3.83,7.0,0:02:17,0.0,F,92,67,48,65,72,53,25,37,96,95,9,67,44,67,14,19,68.8,38.333333333333336,59.66,62.2,33.333333333333336,53.54
Michael Rasmussen,DET,,,77,0:13:24,0.64,0.58,5.81,8.19,3.43,1.39,5.29,7.0,0:13:34,0.0,1.26,4.42,7.58,0.63,1.26,0.63,77.0,0:01:04,2.88,,,,F,51,33,30,50,62,74,82,49,13,66,50,28,25,76,18,57,45.2,68.33333333333333,52.14,36.4,50.333333333333336,40.58
Jaret Anderson-Dolan,WPG,,,7,0:09:56,0.0,0.86,6.9,19.84,5.18,3.45,0.86,7.0,0:09:56,0.0,0.86,6.9,19.84,5.18,3.45,0.86,,,,,,,F,6,52,50,65,26,96,95,85,13,51,50,58,28,96,93,85,39.8,92.0,55.46,40.0,91.33333333333331,55.4
Cody Glass,"N.J, PIT",,,65,0:13:39,0.41,1.08,6.15,3.58,2.57,1.08,16.43,,,,,,,,,,,,,,,,F,32,65,50,55,87,38,64,40,50,50,50,50,50,50,50,50,57.8,47.333333333333336,54.66,50.0,50.0,50.0
Mikey Anderson,L.A,,,77,0:22:41,0.21,0.62,2.88,4.09,4.26,0.96,0.0,6.0,0:22:05,0.0,1.81,2.72,3.62,2.72,0.0,0.0,,,,,,,D,55,50,50,31,48,64,51,36,28,92,50,38,47,63,33,17,46.8,50.333333333333336,47.86,51.0,37.66666666666666,46.99999999999999
Casey Mittelstadt,"BOS, COL",,,81,0:17:03,0.65,1.09,4.56,1.3,1.43,1.04,19.23,,,,,,,,,,81.0,0:02:17,4.19,,,,F,52,66,54,31,89,11,28,38,50,50,50,50,50,50,50,50,58.4,25.666666666666668,48.58,50.0,50.0,50.0
Urho Vaakanainen,"ANA, NYR",,,51,0:16:24,0.14,1.0,3.01,1.36,3.51,1.29,0.0,,,,,,,,,,,,,,,,D,41,78,50,34,48,17,33,48,50,50,50,50,50,50,50,50,50.2,32.666666666666664,44.94,50.0,50.0,50.0
Nico Hischier,N.J,Boats and Ahos,C,75,0:20:23,1.37,1.33,7.34,1.69,2.35,0.78,38.73,6.0,0:20:25,0.98,2.45,2.94,3.43,0.98,0.0,36.73,75.0,0:02:53,8.04,6.0,0:02:07,14.14,F,89,77,90,70,96,15,58,30,64,89,90,11,94,47,29,19,84.4,34.333333333333336,69.38,69.6,31.666666666666668,58.21999999999999
Jesper Boqvist,FLA,,,78,0:13:14,0.7,0.64,5.05,11.09,1.57,0.81,4.12,6.0,0:15:02,0.0,0.0,5.98,17.29,1.99,0.0,1.33,,,,,,,F,56,38,50,39,56,84,33,31,13,12,50,48,33,94,57,19,47.8,49.333333333333336,48.25999999999999,31.2,56.66666666666666,38.84
Jonas Rondbjerg,VGK,,,13,0:09:37,0.0,0.0,5.27,1.44,1.92,0.0,0.48,1.0,0:12:58,0.0,0.0,9.25,4.63,0.0,0.0,0.0,,,,,,,F,6,4,50,42,20,12,45,7,13,12,50,78,15,58,4,19,24.4,21.33333333333333,23.48,33.6,27.0,31.62
Eeli Tolvanen,SEA,,,81,0:14:19,1.19,0.62,7.09,12.26,3.36,1.19,0.26,6.0,0:15:54,0.63,0.0,5.03,7.54,3.14,3.14,0.0,,,,,,,F,83,36,50,67,17,87,81,43,48,12,50,36,15,76,77,83,50.6,70.33333333333333,56.52,32.2,78.66666666666667,46.14
Klim Kostin,S.J,,,35,0:10:40,0.16,0.96,4.5,17.66,2.73,4.34,0.64,,,,,,,,,,,,,,,,F,14,58,50,30,23,94,68,91,50,50,50,50,50,50,50,50,35.0,84.33333333333333,49.8,50.0,50.0,50.0
Elias Pettersson,VAN,Sask Squatches,C;LW,64,0:18:39,0.75,1.51,5.48,3.67,3.87,0.7,23.01,,,,,,,,,,64.0,0:03:08,4.77,,,,F,60,83,63,45,91,39,87,27,50,50,50,50,50,50,50,50,68.4,51.0,63.18,50.0,50.0,50.0
Gabriel Vilardi,WPG,Bar Down Beauties,C;RW,71,0:18:08,1.26,1.58,6.06,0.98,2.33,0.65,3.49,,,,,,,,,,71.0,0:02:50,7.43,,,,F,86,85,87,54,52,7,58,26,50,50,50,50,50,50,50,50,72.8,30.33333333333333,60.06,50.0,50.0,50.0
Owen Tippett,PHI,Boats and Ahos,LW;RW,77,0:15:59,0.97,1.12,9.16,5.6,3.07,0.78,0.34,7.0,0:14:24,0.59,1.78,12.49,4.16,3.57,0.0,0.59,77.0,0:01:55,2.84,,,,F,73,67,29,84,18,57,76,30,45,79,50,91,24,54,82,19,54.2,54.333333333333336,54.24,57.8,51.66666666666666,55.96
Nick Suzuki,MTL,Autodraft Anomalies,C,82,0:20:03,1.09,2.15,6.27,2.3,2.59,0.29,24.8,7.0,0:21:34,1.59,1.59,5.56,1.99,1.59,0.79,21.85,82.0,0:03:24,5.79,7.0,0:04:04,0.0,F,79,95,75,57,92,22,65,14,83,75,9,43,89,29,47,45,79.6,33.666666666666664,65.82,59.8,40.333333333333336,53.96
Robert Thomas,STL,Hughes your daddy,C,70,0:19:57,0.9,2.58,6.23,0.56,2.06,0.86,31.48,7.0,0:20:28,0.84,4.61,5.03,0.84,2.51,0.0,28.9,70.0,0:02:24,6.76,7.0,0:02:51,11.98,F,69,97,83,56,94,4,50,33,58,98,87,36,92,13,68,19,79.8,29.0,64.55999999999999,74.2,33.333333333333336,61.94
Jason Robertson,DAL,Dan's Dazzling Team,LW;RW,82,0:17:47,1.44,1.85,8.68,2.43,1.85,0.74,0.29,7.0,0:15:50,1.08,0.54,6.5,2.71,0.54,2.17,0.0,82.0,0:03:04,4.51,7.0,0:03:05,0.0,F,90,91,59,81,17,24,43,29,68,36,9,54,15,38,16,73,67.6,32.0,56.92,36.4,42.333333333333336,38.18
Morgan Frost,"CGY, PHI",,,81,0:15:45,0.66,1.08,6.77,3.24,2.82,1.03,24.87,,,,,,,,,,81.0,0:02:32,4.38,,,,F,53,65,57,63,92,34,70,38,50,50,50,50,50,50,50,50,66.0,47.333333333333336,60.4,50.0,50.0,50.0
Shane Bowers,N.J,,,4,0:08:15,0.0,0.0,3.63,16.36,1.82,0.0,1.82,,,,,,,,,,,,,,,,F,6,4,50,17,37,93,42,7,50,50,50,50,50,50,50,50,22.8,47.333333333333336,30.16,50.0,50.0,50.0
Henri Jokiharju,"BOS, BUF",,,60,0:17:49,0.17,0.39,3.31,2.75,2.97,0.79,0.0,,,,,,,,,,,,,,,,D,47,29,50,42,48,43,21,30,50,50,50,50,50,50,50,50,43.2,31.33333333333333,39.64,50.0,50.0,50.0
Miro Heiskanen,DAL,P Diddlers,D,50,0:25:09,0.24,0.95,5.15,0.81,4.05,0.48,0.0,,,,,,,,,,50.0,0:03:34,2.34,,,,D,61,75,22,77,48,8,46,19,50,50,50,50,50,50,50,50,56.6,24.33333333333333,46.92,50.0,50.0,50.0
Martin Necas,"CAR, COL",robert's Fabulous Team,RW,79,0:18:59,1.08,2.24,7.76,2.48,0.92,0.64,2.04,,,,,,,,,,79.0,0:03:36,7.8,,,,F,79,95,89,74,40,25,12,25,50,50,50,50,50,50,50,50,75.4,20.666666666666668,58.98,50.0,50.0,50.0
Timothy Liljegren,"S.J, TOR",,,68,0:19:11,0.28,0.51,4.69,2.94,5.1,1.75,0.0,,,,,,,,,,68.0,0:01:30,2.33,,,,D,68,40,22,70,48,47,67,61,50,50,50,50,50,50,50,50,49.6,58.333333333333336,52.22,50.0,50.0,50.0
Dylan Samberg,WPG,,,60,0:21:08,0.28,0.66,4.49,2.65,5.68,1.23,0.0,7.0,0:19:11,0.0,0.45,4.91,3.57,6.25,1.79,0.0,,,,,,,D,68,54,50,67,48,42,76,46,28,42,50,72,47,62,80,70,57.4,54.66666666666666,56.58,47.8,70.66666666666667,54.66
Pierre-Olivier Joseph,"PIT, STL",,,47,0:15:15,0.0,0.25,3.51,3.01,3.01,3.76,0.0,,,,,,,,,,,,,,,,D,16,17,50,47,48,48,22,90,50,50,50,50,50,50,50,50,35.6,53.333333333333336,40.92,50.0,50.0,50.0
Josh Norris,"BUF, OTT",,,56,0:18:20,1.23,0.82,5.61,7.88,2.74,2.57,24.12,,,,,,,,,,56.0,0:02:59,3.95,,,,F,85,50,50,47,92,72,69,74,50,50,50,50,50,50,50,50,64.8,71.66666666666667,66.85999999999999,50.0,50.0,50.0
